Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020/1/11,504,8:18:00 AM,Saturday,King and Dufferin,Mechanical,8,16,W/B,4560
2020/1/11,501,10:23:00 AM,Saturday,Queen St W & Lansdowne,Mechanical,8,16,E/B,4586
2020/1/11,51,10:53:00 AM,Saturday,St Clair West Wychwood,Investigation,18,26,W/B,4469
2020/1/11,506,11:58:00 AM,Saturday,College St West  Shaw,Mechanical,1,1,E/B,4499
2020/1/11,505,12:47:00 PM,Saturday,DWS,Mechanical,4,8,E/B,1419
2020/1/11,509,12:52:00 PM,Saturday,CNE Loop,Late Leaving Garage,8,16,E/B,4481
2020/1/11,509,1:00:00 PM,Saturday,Spadina Queens Quay,Mechanical,1,1,W/B,4442
2020/1/11,501,1:27:00 PM,Saturday,Queen and church,Mechanical,7,14,E/B,4435
2020/1/11,504,2:00:00 PM,Saturday,Dundas West Stn,Investigation,1,1,S/B,4579
2020/1/11,506,2:38:00 PM,Saturday,Gerrard and Carlaw,Held By,6,14,E/B,4535
2020/1/11,505,3:01:00 PM,Saturday,DWS,Mechanical,4,8,E/B,1417
2020/1/11,505,3:26:00 PM,Saturday,Broadview Station,Mechanical,4,8,W/B,1015
2020/1/11,505,4:50:00 PM,Saturday,Jarvis Street,Investigation,4,8,W/B,3150
2020/1/11,501,6:20:00 PM,Saturday,Neville park loop,Mechanical,7,14,W/B,4547
2020/1/11,505,6:48:00 PM,Saturday,Broadview Station,Mechanical,4,8,W/B,1010
2020/1/11,505,8:22:00 PM,Saturday,Spadina Street,Investigation,4,8,E/B,8539
2020/1/11,512,9:54:00 PM,Saturday,St. Clair West STN,Investigation,8,16,W/B,4544
2020/1/11,504,10:07:00 PM,Saturday,King and Dufferin,Mechanical,8,16,E/B,4472
2020/1/11,501,11:07:00 PM,Saturday,QUEEN AND CHURCH,Diversion,37,47,E/B,4506
2020/1/11,504,11:07:00 PM,Saturday,Queen and Church,Investigation,10,20,W/B,4472
2020/1/11,506,11:26:00 PM,Saturday,"St, Clair and Appleton",Held By,19,27,E/B,4460
